local_datetime,settlementPeriod,imbalanceQuantityMAW
2020-01-12 06:30:00+00:00,14,267.2513
2020-01-12 07:00:00+00:00,15,-197.0219
2020-01-12 07:30:00+00:00,16,-372.3611
2020-01-12 08:00:00+00:00,17,-99.5987
2020-01-12 08:30:00+00:00,18,128.7364
2020-01-12 09:00:00+00:00,19,384.3084
2020-01-12 09:30:00+00:00,20,95.5457
2020-01-12 10:00:00+00:00,21,102.1127
2020-01-12 10:30:00+00:00,22,16.3197
2020-01-12 11:00:00+00:00,23,-132.1702
2020-01-12 11:30:00+00:00,24,-251.74
2020-01-12 12:00:00+00:00,25,-196.6046
2020-01-12 12:30:00+00:00,26,-118.3582
2020-01-12 13:00:00+00:00,27,-146.4027
2020-01-12 13:30:00+00:00,28,-340.4507
2020-01-12 14:00:00+00:00,29,-529.6957
2020-01-12 14:30:00+00:00,30,-303.9866
2020-01-12 15:00:00+00:00,31,-273.1692
2020-01-12 15:30:00+00:00,32,-276.5259
2020-01-12 16:00:00+00:00,33,203.53
2020-01-12 16:30:00+00:00,34,310.041
2020-01-12 17:00:00+00:00,35,668.903
2020-01-12 17:30:00+00:00,36,577.2997
2020-01-12 18:00:00+00:00,37,391.8532
2020-01-12 18:30:00+00:00,38,169.2387
2020-01-12 19:00:00+00:00,39,-141.0394
2020-01-12 19:30:00+00:00,40,-38.8258
2020-01-12 20:00:00+00:00,41,118.8773
